author,date,comment
cybersol,2002-03-23 19:04:32+00:00,entry level performance luxury sedans are a hot area for car manufacturers and enthusiasts alike these sedans show their performance by being fun to drive and handling well they show luxury by offering leather and some of the important creatures comforts found in the most luxurious upscale sedans the selection of vehicles that compete in the space is vast and variedthe benchmarks which define this are the bmw 330 and the audi a4 30 but there are many contenders such as acura tls chrysler 300m jaguar xtype infiniti i35 mercedes cclass volvo s60 t5 some companies have contenders that emphasize performance lexus is300 or luxury lexus es300 and the field is continously growing with the recent additions being the cadillac cts and infiniti g35the common charateristics of this entry level perfomance luxury group seem to a price around 30 to 40k us dollars and 060 times between six and eight secondswith this wide variety of cars targeted at a similar market segment the choices for our own personal car are great but with all these choices it is hard to understand and personally evaluate all these options so this topic has been created to start a discussion on the relative merits and personalities of the cars available in this entry level performance luxury field
merc1,2002-03-25 05:54:02+00:00,i personally think that with a few tweaks the c320 could also sit at the top of this group its still more of a entrylevel luxury sedan than mercedes would lead you to believe the c320 sport needs to have its suspension retuned to accept 17 inch tires without a harsh ride mb also needs to stop forcing metal trim and black leather on everyone that wants the sport package the c240s 6speed wouldnt hurt either if offered on the c320 though it needs to be fixed first that said my favorite of the group is gasp the new a4 30 the a4 easily has the best interior of any sub40k car combine that with stunning looks and a body that is as rigid as any ever made and you have my personal favorite the single thing i dont like about the a4 is the grey trim around the bottom of the car this trim doesnt match any of the body colors as it should be body color anyway this is an excellent car and in my opinion the best there is under 40k the upcoming a4 convertible coupe and s4 will all be winners the bmw 330i is now an old favorite but im of all people starting to tire of the 3series just a bit save the m3 variants i was kind of dissappointed by the 2002 facelift they could have done a little more in the way of styling i hope they do a little more for 2003 with the coupe models the acura tls is easily my favorite fwd car in this class wonderful engine you actually can hear it and decent handling for a front driver nice price seats and what not not hard to see why the tl is so popular this cars main faults are styling and obvious costcutting in the interior stereo fake wood etc otherwise a standout lexus es300 nice but not my type of car at all this is one for the buick set the is300 is half baked but has a wonderful chassis styling is also in question here it simply doesnt look like a 35k car grown the interior is gawdawful bet on the next is300 being done right from the start in their defense toyota didnt initially intend for this car to be sold in the us so it was a rush job the cts holds the greatest unrealized potential here ive seen several now and each time i see one they look better and better again like the c320 is300 the car has interior issues the dash feels like it was made by rubbermaid if youre going to be stingy with wood trim why bother half of the steering wheel in wood and very little anywhere else in the car the seats are very good though as is the handling a work in progress the g35 looks like it may have a winning chassis but the interior though clean looking seems to be styled about 10 years ago lots of square shapes and flat surfaces another great engine waiting to drive this onedont really care much for the xtype if i were a jaguar man id be truly pissed at ford and jaguar for this one they are actually selling a fwd xtype in england and ive read where theyre thinking about selling it here hell no the car should have been rwd not awd some will tell you that this was done to compete with audi thats bs awd was the only way to keep the car from being fwd without spending the money to convert the car to rwd it is a good looking car though and that jaguar leaper will be enough for some but this car has to grow on me the chrysler 300m is about as close to an audi that american cars come this new 300m special is truly a good looking car inside and out one problem where is the performance a 255hp car in this class with a 060 time over 8 seconds is not accpetable something is not right here some say engine transmission andor gearing but whatever it is chrysler needs to let some mb engineers have a look at this car the heavier e320 with less power is faster i still like this car but its no lust object once you get past the great styling m
fredvh,2002-03-25 07:06:29+00:00,i am debating a new purchase and these two are at the top of my list the price difference between these two is approx 6k nontype s acura is the es300 worth 6k over the tl i dont know because i have never owned a tl but i am familiar with the es300previous generation supposedly the 2002 es300 is a lot better than the previous generation but is it that much better than the tl of great importance to me is initial quality and overall dependability does the tl compare with the es300 in both of these categorys i am not familiar with the honda co are prices lower than lexus for service work i would appreciate any input on this dilemma from some tl owners
blueguydotcom,2002-03-25 17:02:27+00:00,great handling rwd excellent engine and the best warranty around easy winner
hungrywhale,2002-03-25 23:04:37+00:00,and no manual tranny that may not matter to you but it most certainly does matter to me and many other enthusiast driversso imo its not even on the board let alone the easy winner
riez,2002-03-26 00:44:13+00:00,one beauty of bmw 3 series is that there are so many models to choose from almost half of all buyers in america dont get the basic rwd 4 door sedan besides having 3 engine and 3 transmission choices you can get coupe convertible awd station wagon and superhigh performance mserieshungrywhale i concur that having the availability of a manual transmission across the line is absolutely critical
blueguydotcom,2002-03-26 20:20:10+00:00,good grief so you wait 9 months for the manual even with an auto i prefer to every car listed and i never have owned an auto and never thought id enjoy driving a car with an auto thats what value performance and an exceptional engine can do for a car once the g has a stick there is not another sedan under the m3 that id consider
hungrywhale,2002-03-26 21:02:10+00:00,ill give it a fair shot when the manual comes out but im just flatout not interested in an auto i dont care how fast it is its not about the speed its about the driving experience and having more control over the car
blueguydotcom,2002-03-26 21:45:33+00:00,i understand its not about the speed i really dont care if the car wont do over 100 as i rarely break the century mark what i do care about is power and with the manual mode on the auto i can get it when i want it will i buy an autoequipped g in all likelihood no i desperately want to drive the 6 speed
hungrywhale,2002-03-27 00:00:02+00:00,it sounds like you know why i wont even put it on my list let alone at the top until the manual comes out
riez,2002-03-27 02:00:56+00:00,is there such a thing as an automaticonly true performance sedan not in my book certainly not in europe or asia only in america is such an oxymoron possible sadif or when the manual g35 comes out and the coupe version then the g35 will be interesting enough to be a serious contender in this segment
wishnhigh1,2002-03-27 02:55:06+00:00,if i had to rank the entry lux performance sedans here is what i would chooseaudi a4 30lots of bang for the buck loads of style and loads of luxurycadillac cts decent btfb good handling nonlemming styleinfinity g35tons of bftb good luxury but completely boring exterior and even more boring of an interiorbmw 325very little bftb excellent handlingbuild qualityresale classy looking but too conservative for mesaab viggenalmost zero bftb spotty build quality but the damn coolest style in the world everything else is not worth my time
shipo,2002-03-27 05:06:31+00:00,hey my friend dig this in australia the only 5series that can be had with a manual gearbox is the m5 yeah right not the 525i 530i 535i or the 540i they are all automatic only best regardsshipo
mbarto,2002-03-27 14:20:27+00:00,is there such a thing as an automaticonly true performance sedan not in my book certainly not in europe or asia only in america is such an oxymoron possible sad if or when the manual g35 comes out and the coupe version then the g35 will be interesting enough to be a serious contender in this segmentriez i read from your profile that you have a manual bmw 5series but i think you are wrong to not consider a car such as a infiniti g35 to be a serious contender as a performance luxury sedan from your logic then the bmw 3series your wifes or the 5series with the steptronic should not be contenders either thats belittling the infiniti audi lexus acuras bmws etc with automatics when i return in december from qatar i plan on purchasing a sports sedan im leaning on the g35 but the bmw 330i along with the audi s4 are also contenders imo if the handling of the infiniti is as good as the bmw as some that drove it has stated then it will hard to pass up especially for the price also my first choice will be a manual and infiniti should have the manual out by december i will test drive all three manual and automatics and make my choice from there i do agree with you that manuals are more fun to drive and that will be my first choice but automatics in this category especially those made by bmw infiniti and others should not be eliminated as performance sedans different flavors for different peoplei have been following discussions on many boards and what i have been noticing is that there is so many experts on what is the best sports sedan and most havent even driven the competitors to give an honest opinion this is not aimed at you riez or shipko because your profiles states that you own a bmw already but from what i noticed is that some bmw supportors dont even own a bmw at least not from their profile or they state that they never drove an infiniti g35 but they still make unsupported facts assumptions or opinions on such see the edmunds bmw 3series discussion i hope in your defense reiz that you drove the automatic infiniti g35 to give an opinionated statement that it doesnt classify as a performance sedan i value your opinion and others as wellagain im not flaming you but i try to be an informed consumer before i buy anything that is the reason that i will drive every car that im interested in and make my choice from there im also always interested in those opinions from people that own the type of car im shopping for and at least drove it so they can give valid pronegative statementscheers
hungrywhale,2002-03-27 17:00:47+00:00,i think what riez and i are trying to say is not that automatics perform poorly or that only weenies drive them but any car that truly holds itself out as a performance sedan needs at least the option of a manual tranny manuals are always faster than automatics and they are almost always the choice of the enthusiast drivertheres nothing at all wrong with automatics but i sure dont want one
blueguydotcom,2002-03-27 18:10:48+00:00,amen
dave330i,2002-03-27 18:23:44+00:00,in this class the best bang for the buck has to be is300 assuming one can live with the styling i guess im one of the few that likes the old a4 styling to the new isnt the new a4 pushing 3600 lbs now thats pretty heavy for this class
blueguydotcom,2002-03-27 19:06:09+00:00,even at 29k for a 35k msrp is300 i passed on it now i never drove a manual one they werent out yet but even with a manual given the cars horrible drivefeel poor interior and lethargic steering i dont think id go near one theyre not up to audibmwmbinfiniti
